Comment Date,Comment
"Aug 2, 2019, 2:45:58 AM","Not much time, so I incorporated - striders +footdrills into middle of run, on flat road.  Moderately hot, 79, just ate dinner, no stretch before, after."
"Aug 7, 2019, 3:48:22 AM",Ran after dinner and was fine for the first mile but then I got massive painful cramps in abdomen.  These persisted for the rest of the run.  Also I did 6 striders+footdrills after cramps subsided.
"May 27, 2020, 12:39:11 PM",I wasn't sure if it was ppl who ran at wips or just ppl who ran in the wpial district thing -- if anyone knows for sure plz lmk
"Jun 7, 2020, 8:46:51 PM",Idk Abt a morning long run lol
"Jun 7, 2020, 8:47:24 PM",No problem... Not sure how that happened
"Jun 23, 2020, 2:13:09 PM",Yup
"Jun 26, 2020, 7:02:56 PM",Because I saw them in my feed and didn't want to forget to join them later lol
"Jul 6, 2020, 2:06:31 PM",Yeah just to keep my lr on Sunday
"Jul 16, 2020, 2:23:27 PM",Sad to see my record fall good job.
"Jul 21, 2020, 3:52:19 AM",Did u do the same workout as last week? (Also the PC looks good)
"Jul 25, 2020, 1:21:13 PM",Yeah lol good job noticing
"Aug 11, 2020, 1:50:36 PM",Lol I didn't even notice that. Ig it just shows u can't trust strava 
"Aug 17, 2020, 9:25:52 PM",Classic first o'hara run of the year workout
"Aug 18, 2020, 12:37:58 AM",Do I spot some lvl 1 hillz?
"Aug 19, 2020, 9:31:55 PM",5 on 1 off???  That's brutal... How's u get down the hill?
"Aug 20, 2020, 2:38:05 AM",Oh I see I thought this was hillz for some reason
"Aug 26, 2020, 12:42:30 AM",Haha thx u just gave me a reason to run nature reserve again
"Aug 27, 2020, 10:11:01 PM",I think the person who came behind me was like 5:20 and then the one after that was like 5:27.  Those numbers could be way off tho
"Aug 27, 2020, 11:37:57 PM",Oh those were their mile time trial times
"Sep 3, 2020, 9:37:00 PM",Lol nope
"Sep 3, 2020, 9:40:28 PM",I mean it kinda is with the stops
"Sep 4, 2020, 3:35:34 PM",At north park
"Sep 10, 2020, 12:56:15 AM","yeah really, now I have a high bar for my 5k time trial on Friday"
"Sep 15, 2020, 10:53:38 PM",Thx lol
"Sep 17, 2020, 9:49:39 PM",Just so there isn't a big jump in distance with no time change that would screw with the strava pace
"Sep 19, 2020, 11:11:37 PM",One more mile at this pace and you'd have done what Ethan did gg.
"Sep 23, 2020, 12:09:46 AM",Good job... Just try to beat my falconhurst exit time now(not a record but still)
"Sep 23, 2020, 12:42:35 AM",Yeah thats the best part of the Nature Reserve Loop
"Sep 25, 2020, 9:15:58 PM",Yeah good job.  I was gonna guess that yesterday but I didn't want to be wrong.
"Sep 29, 2020, 9:04:46 PM",Wait so you won't tell moul if I run a sub 18?
"Oct 7, 2020, 9:29:47 PM",Yeah ikr can't wait until corona has settled down so we can all run together again
"Oct 7, 2020, 9:56:18 PM",Dang nice!
"Oct 17, 2020, 7:27:55 PM",The world will never know
"Oct 17, 2020, 8:11:54 PM",No way!
"Oct 21, 2020, 11:35:53 PM",Ah man sorry 🙁 I forgot abt NA
"Oct 22, 2020, 3:53:07 PM",Owen should be in class confirmed
"Oct 22, 2020, 9:34:44 PM",Oof sorry😤
"Oct 27, 2020, 7:35:10 PM",Yee
"Oct 27, 2020, 9:33:01 PM",Oof also it's single a so there are just fewer ppl and it was a rough course.  The first place person's pr is a 15:05 and they barely broke 19
"Oct 27, 2020, 9:52:38 PM",Yeah it was rough esp bc most of our courses aren't hilly at all
"Oct 28, 2020, 9:03:56 PM","Gg that was a good race, rough course"
"Oct 29, 2020, 10:36:35 PM",Those track segments are gonna be quick
"Oct 30, 2020, 9:30:00 PM",Sorry but congrats on a good race
"Oct 31, 2020, 1:05:22 PM",What even is that segment
"Nov 9, 2020, 11:21:01 PM",Nah idk how this was as fast as it was bc the first half was like 6:00 pace so...
"Dec 3, 2020, 10:11:35 PM",You should do ridc before giant eagle leaves FYI
"Dec 4, 2020, 2:36:25 PM",Lol fr I thought before coming here I wonder if owen left a comment on my run?  Jk I saw the notification
"Dec 9, 2020, 9:59:30 PM",Not sponsored by nike?
"Dec 12, 2020, 1:02:00 AM",After that casual 6:38 I thought I'd be slowing you down at 7:00!
"Dec 21, 2020, 12:47:47 PM",Nah couldn't sleep lol
