Reaction Date,Reaction Type,Parent Type,Parent ID
"Apr 15, 2020, 6:34:49 PM",Kudos,Activity,3303491512
"Apr 15, 2020, 8:01:13 PM",Kudos,Activity,3298934083
"Apr 16, 2020, 2:30:39 PM",Kudos,Activity,3307021163
"Apr 17, 2020, 2:45:52 PM",Kudos,Activity,3307990529
"Apr 17, 2020, 2:46:01 PM",Kudos,Activity,3308473988
"Apr 17, 2020, 2:46:36 PM",Kudos,Activity,3308474176
"Apr 18, 2020, 8:56:34 PM",Kudos,Activity,3312248951
"Apr 18, 2020, 8:56:37 PM",Kudos,Activity,3317821760
"Apr 20, 2020, 7:53:37 PM",Kudos,Activity,3327532552
"Apr 20, 2020, 9:08:43 PM",Kudos,Activity,3298241293
"Apr 20, 2020, 9:08:50 PM",Kudos,Activity,3304724958
"Apr 20, 2020, 9:09:02 PM",Kudos,Activity,3302233728
"Apr 20, 2020, 9:09:06 PM",Kudos,Activity,3303429417
"Apr 20, 2020, 9:09:16 PM",Kudos,Activity,3297707135
"Apr 20, 2020, 9:09:18 PM",Kudos,Activity,3294690005
"Apr 20, 2020, 9:09:25 PM",Kudos,Activity,3327630182
"Apr 21, 2020, 7:40:51 PM",Kudos,Activity,3332755458
"Apr 21, 2020, 11:21:53 PM",Kudos,Activity,3331817059
"Apr 21, 2020, 11:21:56 PM",Kudos,Activity,3333057674
"Apr 21, 2020, 11:22:00 PM",Kudos,Activity,3332993016
"Apr 22, 2020, 9:21:40 PM",Kudos,Activity,3335829947
"Apr 22, 2020, 9:21:57 PM",Kudos,Activity,3337555520
"Apr 22, 2020, 9:22:18 PM",Kudos,Activity,3337555455
"Apr 22, 2020, 9:22:39 PM",Kudos,Activity,3337724909
"Apr 23, 2020, 11:59:35 PM",Kudos,Activity,3343386775
"Apr 23, 2020, 11:59:50 PM",Kudos,Activity,3341185088
"Apr 24, 2020, 12:00:09 AM",Kudos,Activity,3343137662
"Apr 25, 2020, 7:16:31 PM",Kudos,Activity,3347276878
"Apr 25, 2020, 7:16:48 PM",Kudos,Activity,3350886300
"Apr 25, 2020, 7:16:56 PM",Kudos,Activity,3351604546
"Apr 25, 2020, 7:17:26 PM",Kudos,Activity,3352006233
"Apr 25, 2020, 7:17:29 PM",Kudos,Activity,3347612409
"Apr 25, 2020, 7:17:40 PM",Kudos,Activity,3347404961
"Apr 27, 2020, 6:10:59 PM",Kudos,Activity,3362457587
"Apr 27, 2020, 8:11:07 PM",Kudos,Activity,3359010342
"Apr 27, 2020, 9:49:34 PM",Kudos,Activity,3363178700
"Apr 27, 2020, 9:49:36 PM",Kudos,Activity,3363212531
"Apr 27, 2020, 9:49:39 PM",Kudos,Activity,3363379745
"Apr 28, 2020, 12:07:17 AM",Kudos,Activity,3363817338
"Apr 28, 2020, 4:51:21 PM",Kudos,Activity,3362603327
"Apr 28, 2020, 4:51:22 PM",Kudos,Activity,3351945844
"Apr 28, 2020, 4:51:24 PM",Kudos,Activity,3342552296
"Apr 28, 2020, 4:51:27 PM",Kudos,Activity,3338566617
"Apr 28, 2020, 9:24:08 PM",Kudos,Activity,3366908129
"Apr 28, 2020, 9:24:09 PM",Kudos,Activity,3366287988
"Apr 28, 2020, 9:24:42 PM",Kudos,Activity,3367566635
"Apr 28, 2020, 9:24:44 PM",Kudos,Activity,3367342456
"Apr 29, 2020, 6:12:53 PM",Kudos,Activity,3370705308
"Apr 29, 2020, 6:13:00 PM",Kudos,Activity,3371826249
"Apr 29, 2020, 6:39:30 PM",Kudos,Activity,3372104725
"Apr 29, 2020, 6:40:32 PM",Kudos,Activity,3363533723
"Apr 29, 2020, 11:41:38 PM",Kudos,Activity,3373164059
"Apr 29, 2020, 11:41:40 PM",Kudos,Activity,3372891504
"Apr 30, 2020, 12:04:41 AM",Kudos,Activity,3364089684
"Apr 30, 2020, 12:04:44 AM",Kudos,Activity,3338153807
"Apr 30, 2020, 12:04:45 AM",Kudos,Activity,3338153047
"Apr 30, 2020, 12:04:47 AM",Kudos,Activity,3338152592
"Apr 30, 2020, 12:04:49 AM",Kudos,Activity,3338152121
"Apr 30, 2020, 12:04:51 AM",Kudos,Activity,3338151640
"Apr 30, 2020, 12:04:52 AM",Kudos,Activity,3338151238
"Apr 30, 2020, 12:04:54 AM",Kudos,Activity,3338150535
"Apr 30, 2020, 12:04:56 AM",Kudos,Activity,3338149968
"Apr 30, 2020, 12:04:57 AM",Kudos,Activity,3338149510
"Apr 30, 2020, 12:05:00 AM",Kudos,Activity,3338148974
"Apr 30, 2020, 7:31:31 PM",Kudos,Activity,3376475139
"Apr 30, 2020, 8:28:12 PM",Kudos,Activity,3376808967
"Apr 30, 2020, 8:28:15 PM",Kudos,Activity,3376867985
"May 1, 2020, 8:33:29 PM",Kudos,Activity,3380237114
"May 1, 2020, 8:33:36 PM",Kudos,Activity,3381741347
"May 1, 2020, 8:34:27 PM",Kudos,Activity,3377481921
"May 2, 2020, 4:15:10 PM",Kudos,Activity,3385420318
"May 2, 2020, 4:15:14 PM",Kudos,Activity,3382142256
"May 2, 2020, 4:15:23 PM",Kudos,Activity,3382505258
"May 2, 2020, 6:16:39 PM",Kudos,Activity,3386302736
"May 2, 2020, 8:49:49 PM",Kudos,Activity,3387409660
"May 2, 2020, 8:49:53 PM",Kudos,Activity,3387493802
"May 2, 2020, 8:49:57 PM",Kudos,Activity,3387550780
"May 4, 2020, 5:42:55 PM",Kudos,Activity,3394424565
"May 4, 2020, 5:43:08 PM",Kudos,Activity,3391917010
"May 5, 2020, 12:28:14 AM",Kudos,Activity,3398869413
"May 5, 2020, 12:28:23 AM",Kudos,Activity,3398812659
"May 5, 2020, 12:28:24 AM",Kudos,Activity,3398810635
"May 5, 2020, 12:28:36 AM",Kudos,Activity,3398847442
"May 5, 2020, 12:28:43 AM",Kudos,Activity,3398739582
"May 6, 2020, 6:51:48 PM",Kudos,Activity,3403636496
"May 6, 2020, 6:51:56 PM",Kudos,Activity,3404178703
"May 6, 2020, 6:52:43 PM",Kudos,Activity,3408188306
"May 6, 2020, 6:53:05 PM",Kudos,Activity,3403867444
"May 6, 2020, 6:53:07 PM",Kudos,Activity,3404396854
"May 6, 2020, 8:25:30 PM",Kudos,Activity,3409963732
"May 7, 2020, 11:02:27 AM",Kudos,Activity,3410635450
"May 7, 2020, 11:02:50 AM",Kudos,Activity,3410321344
"May 7, 2020, 11:03:12 AM",Kudos,Activity,3410327578
"May 7, 2020, 8:03:44 PM",Kudos,Activity,3414419748
"May 7, 2020, 8:18:04 PM",Kudos,Activity,3415286791
"May 7, 2020, 8:18:06 PM",Kudos,Activity,3415346321
"May 7, 2020, 8:18:14 PM",Kudos,Activity,3415216549
"May 8, 2020, 7:49:19 PM",Kudos,Activity,3420368081
"May 8, 2020, 7:49:31 PM",Kudos,Post,9311008
"May 8, 2020, 7:49:35 PM",Kudos,Activity,3415593725
"May 8, 2020, 7:49:41 PM",Kudos,Activity,3416340426
"May 8, 2020, 10:15:14 PM",Kudos,Activity,3420971070
"May 9, 2020, 9:24:28 PM",Kudos,Activity,3426779647
"May 9, 2020, 9:24:41 PM",Kudos,Activity,3424660240
"May 9, 2020, 10:11:58 PM",Kudos,Activity,3426202805
"May 9, 2020, 10:12:00 PM",Kudos,Activity,3426456916
"May 9, 2020, 10:12:29 PM",Kudos,Activity,3426459438
"May 10, 2020, 9:01:16 PM",Kudos,Activity,3430014345
"May 10, 2020, 9:01:41 PM",Kudos,Activity,3431542374
"May 10, 2020, 9:01:49 PM",Kudos,Activity,3431959391
"May 12, 2020, 11:19:11 AM",Kudos,Activity,3436366992
"May 12, 2020, 11:19:13 AM",Kudos,Activity,3436976762
"May 12, 2020, 11:19:15 AM",Kudos,Activity,3436515979
"May 12, 2020, 11:22:01 AM",Kudos,Activity,3435279893
"May 12, 2020, 11:22:03 AM",Kudos,Activity,3432300397
"May 12, 2020, 11:22:05 AM",Kudos,Activity,3436233840
"May 12, 2020, 11:22:07 AM",Kudos,Activity,3434276814
"May 12, 2020, 11:22:09 AM",Kudos,Activity,3436218765
"May 12, 2020, 10:01:44 PM",Kudos,Activity,3440837394
"May 12, 2020, 10:01:58 PM",Kudos,Activity,3441655526
"May 13, 2020, 5:44:35 PM",Kudos,Activity,3441998583
"May 13, 2020, 8:06:17 PM",Kudos,Activity,3445983199
"May 13, 2020, 8:06:20 PM",Kudos,Activity,3446529467
"May 13, 2020, 9:02:24 PM",Kudos,Activity,3446773956
"May 14, 2020, 1:41:49 AM",Kudos,Activity,3447220140
"May 14, 2020, 8:25:51 PM",Kudos,Activity,3450583887
"May 14, 2020, 8:26:05 PM",Kudos,Activity,3451878667
"May 14, 2020, 8:26:20 PM",Kudos,Activity,3451588979
"May 15, 2020, 7:40:56 PM",Kudos,Activity,3453032414
"May 15, 2020, 7:59:40 PM",Kudos,Activity,3456575265
"May 16, 2020, 2:31:19 AM",Kudos,Activity,3457020710
"May 16, 2020, 2:31:21 AM",Kudos,Activity,3457443319
"May 16, 2020, 2:31:43 AM",Kudos,Activity,3456951146
"May 16, 2020, 5:51:03 PM",Kudos,Activity,3460353413
"May 16, 2020, 5:51:22 PM",Kudos,Activity,3460356308
"May 16, 2020, 5:51:26 PM",Kudos,Activity,3460088481
"May 16, 2020, 5:51:42 PM",Kudos,Activity,3460337793
"May 16, 2020, 5:51:44 PM",Kudos,Activity,3460086617
"May 17, 2020, 9:25:35 PM",Kudos,Activity,3467422523
"May 18, 2020, 1:59:06 PM",Kudos,Activity,3468945631
"May 18, 2020, 7:18:45 PM",Kudos,Activity,3473109705
"May 18, 2020, 7:18:57 PM",Kudos,Activity,3472440223
"May 18, 2020, 8:22:53 PM",Kudos,Activity,3473545303
"May 18, 2020, 10:17:59 PM",Kudos,Activity,3473760742
"May 19, 2020, 9:41:20 PM",Kudos,Activity,3478049634
"May 19, 2020, 9:41:28 PM",Kudos,Activity,3479402768
"May 20, 2020, 8:19:36 PM",Kudos,Activity,3483461792
"May 20, 2020, 8:19:47 PM",Kudos,Activity,3483924599
"May 20, 2020, 8:19:49 PM",Kudos,Activity,3480434848
"May 21, 2020, 12:59:49 PM",Kudos,Activity,3485007826
"May 21, 2020, 5:24:35 PM",Kudos,Activity,3489049377
"May 21, 2020, 5:24:44 PM",Kudos,Activity,3488740807
"May 21, 2020, 5:24:47 PM",Kudos,Activity,3489049127
"May 21, 2020, 5:24:49 PM",Kudos,Activity,3489049096
"May 21, 2020, 5:25:00 PM",Kudos,Activity,3488697886
"May 21, 2020, 5:25:06 PM",Kudos,Activity,3488895161
"May 21, 2020, 8:39:03 PM",Kudos,Activity,3490259662
"May 21, 2020, 8:39:53 PM",Kudos,Activity,3484694333
"May 21, 2020, 8:39:55 PM",Kudos,Activity,3489299979
"May 21, 2020, 8:40:12 PM",Kudos,Activity,3479622776
"May 21, 2020, 8:40:36 PM",Kudos,Activity,3472712177
"May 21, 2020, 8:41:09 PM",Kudos,Activity,3452538506
"May 22, 2020, 8:55:07 PM",Kudos,Activity,3495088150
"May 22, 2020, 8:55:50 PM",Kudos,Activity,3495251603
"May 22, 2020, 8:55:58 PM",Kudos,Activity,3494033502
"May 22, 2020, 8:56:04 PM",Kudos,Activity,3494973911
"May 22, 2020, 8:56:08 PM",Kudos,Activity,3494972429
"May 22, 2020, 8:56:10 PM",Kudos,Activity,3494810426
"May 22, 2020, 8:56:13 PM",Kudos,Activity,3494968127
"May 23, 2020, 4:57:55 PM",Kudos,Activity,3499159136
"May 23, 2020, 4:57:57 PM",Kudos,Activity,3499004877
"May 23, 2020, 4:58:10 PM",Kudos,Activity,3498395478
"May 23, 2020, 4:58:13 PM",Kudos,Activity,3495305735
"May 23, 2020, 7:45:42 PM",Kudos,Activity,3499998317
"May 23, 2020, 7:45:51 PM",Kudos,Activity,3500140115
"May 24, 2020, 6:53:34 PM",Kudos,Activity,3505884758
"May 24, 2020, 7:48:39 PM",Kudos,Activity,3506047339
"May 25, 2020, 1:27:22 PM",Kudos,Activity,3508911533
"May 25, 2020, 2:53:40 PM",Kudos,Activity,3509267294
"May 25, 2020, 2:53:41 PM",Kudos,Activity,3509265733
"May 25, 2020, 2:53:46 PM",Kudos,Activity,3509255101
"May 25, 2020, 2:53:51 PM",Kudos,Activity,3509293896
"May 25, 2020, 9:09:19 PM",Kudos,Activity,3510447174
"May 26, 2020, 4:12:25 PM",Kudos,Activity,3514088213
"May 26, 2020, 5:14:02 PM",Kudos,Activity,3515395639
"May 26, 2020, 5:14:14 PM",Kudos,Activity,3504774347
"May 27, 2020, 12:02:15 AM",Kudos,Activity,3517106245
"May 27, 2020, 12:02:18 AM",Kudos,Activity,3516975740
"May 27, 2020, 1:47:37 PM",Kudos,Activity,3519816931
"May 27, 2020, 2:41:03 PM",Kudos,Activity,3520058287
"May 27, 2020, 2:41:51 PM",Kudos,Activity,3520057983
"May 27, 2020, 4:57:14 PM",Kudos,Activity,3519751518
"May 27, 2020, 5:46:53 PM",Kudos,Activity,3520949482
"May 27, 2020, 5:46:56 PM",Kudos,Activity,3521162679
"May 28, 2020, 11:05:36 AM",Kudos,Activity,3523218226
"May 28, 2020, 11:05:47 AM",Kudos,Activity,3522030955
"May 28, 2020, 11:07:19 AM",Kudos,Activity,3522748462
"May 28, 2020, 11:07:23 AM",Kudos,Activity,3522662674
"May 28, 2020, 4:28:17 PM",Kudos,Activity,3525039497
"May 29, 2020, 3:27:12 AM",Kudos,Activity,3527418120
"May 29, 2020, 3:27:14 AM",Kudos,Activity,3527083068
"May 29, 2020, 3:27:17 AM",Kudos,Activity,3527948501
"May 29, 2020, 6:20:07 PM",Kudos,Activity,3530392487
"May 29, 2020, 6:20:26 PM",Kudos,Post,9908542
"May 29, 2020, 6:20:38 PM",Kudos,Activity,3530521664
"May 29, 2020, 6:20:52 PM",Kudos,Activity,3531475663
"May 29, 2020, 7:21:33 PM",Kudos,Activity,3532003609
"May 29, 2020, 9:47:45 PM",Kudos,Activity,3532631838
"May 30, 2020, 2:13:45 AM",Kudos,Activity,3532706462
"May 30, 2020, 2:14:04 AM",Kudos,Activity,3532697341
"May 30, 2020, 5:30:04 PM",Kudos,Activity,3533427435
"May 30, 2020, 5:30:09 PM",Kudos,Activity,3536109181
"May 30, 2020, 5:30:17 PM",Kudos,Activity,3536103422
"May 30, 2020, 5:30:20 PM",Kudos,Activity,3536785921
"May 30, 2020, 7:05:20 PM",Kudos,Activity,3537503768
"May 30, 2020, 7:05:22 PM",Kudos,Activity,3537503550
"May 30, 2020, 7:57:00 PM",Kudos,Activity,3537905228
"May 30, 2020, 9:42:19 PM",Kudos,Activity,3538387570
"May 31, 2020, 12:32:25 AM",Kudos,Activity,3538066622
"May 31, 2020, 2:23:53 PM",Kudos,Activity,3541781549
"May 31, 2020, 8:25:59 PM",Kudos,Activity,3543823919
"May 31, 2020, 8:26:05 PM",Kudos,Activity,3542381997
"May 31, 2020, 8:26:09 PM",Kudos,Activity,3542402919
"Jun 1, 2020, 12:02:44 AM",Kudos,Activity,3544689514
"Jun 1, 2020, 12:02:49 AM",Kudos,Activity,3544689863
"Jun 1, 2020, 12:03:07 AM",Kudos,Activity,3544689464
"Jun 1, 2020, 12:03:32 AM",Kudos,Activity,3544689843
"Jun 1, 2020, 12:03:45 AM",Kudos,Activity,3544293813
"Jun 1, 2020, 5:01:48 PM",Kudos,Activity,3547015426
"Jun 1, 2020, 5:01:50 PM",Kudos,Activity,3547090411
"Jun 1, 2020, 5:02:15 PM",Kudos,Activity,3546665107
"Jun 1, 2020, 5:02:20 PM",Kudos,Activity,3547652742
"Jun 1, 2020, 7:45:12 PM",Kudos,Activity,3548568303
"Jun 1, 2020, 9:26:11 PM",Kudos,Activity,3549493265
"Jun 1, 2020, 9:26:37 PM",Kudos,Activity,3549546724
"Jun 1, 2020, 9:26:47 PM",Kudos,Activity,3549334198
"Jun 1, 2020, 9:27:10 PM",Kudos,Activity,3549334639
"Jun 1, 2020, 10:26:51 PM",Kudos,Activity,3549663970
"Jun 1, 2020, 10:26:55 PM",Kudos,Activity,3549712952
"Jun 1, 2020, 10:26:59 PM",Kudos,Activity,3549713323
"Jun 2, 2020, 2:11:31 PM",Kudos,Activity,3552422028
"Jun 2, 2020, 11:48:12 PM",Kudos,Activity,3554423120
"Jun 2, 2020, 11:48:36 PM",Kudos,Activity,3555133090
"Jun 2, 2020, 11:48:54 PM",Kudos,Activity,3555247449
"Jun 2, 2020, 11:49:04 PM",Kudos,Activity,3554728991
"Jun 2, 2020, 11:49:14 PM",Kudos,Activity,3555403803
"Jun 3, 2020, 1:36:05 PM",Kudos,Activity,3557744275
"Jun 3, 2020, 3:53:28 PM",Kudos,Activity,3558146299
"Jun 3, 2020, 5:49:54 PM",Kudos,Activity,3559035339
"Jun 3, 2020, 5:50:01 PM",Kudos,Activity,3559036829
"Jun 3, 2020, 5:50:04 PM",Kudos,Activity,3559037295
"Jun 3, 2020, 9:12:04 PM",Kudos,Activity,3560025708
"Jun 3, 2020, 9:12:13 PM",Kudos,Activity,3559215279
"Jun 3, 2020, 9:12:22 PM",Kudos,Activity,3559272267
"Jun 4, 2020, 1:56:32 PM",Kudos,Activity,3562843113
"Jun 4, 2020, 6:02:57 PM",Kudos,Activity,3563378023
"Jun 4, 2020, 6:03:00 PM",Kudos,Activity,3563462517
"Jun 4, 2020, 6:10:48 PM",Kudos,Activity,3563321086
"Jun 4, 2020, 9:39:36 PM",Kudos,Activity,3564699474
"Jun 4, 2020, 9:39:52 PM",Kudos,Activity,3564843087
"Jun 4, 2020, 9:40:12 PM",Kudos,Activity,3564508915
"Jun 5, 2020, 1:12:47 AM",Kudos,Activity,3565163378
"Jun 5, 2020, 1:12:52 AM",Kudos,Activity,3565545873
"Jun 5, 2020, 1:28:45 PM",Kudos,Activity,3567174439
"Jun 5, 2020, 1:28:48 PM",Kudos,Activity,3567192421
"Jun 5, 2020, 2:25:06 PM",Kudos,Activity,3567371363
"Jun 5, 2020, 2:25:12 PM",Kudos,Activity,3567561640
"Jun 5, 2020, 7:12:51 PM",Kudos,Activity,3568664643
"Jun 5, 2020, 10:39:22 PM",Kudos,Activity,3568988351
"Jun 6, 2020, 1:53:59 AM",Kudos,Activity,3569551153
"Jun 6, 2020, 4:38:22 PM",Kudos,Activity,3572795742
"Jun 6, 2020, 4:38:32 PM",Kudos,Activity,3572428810
"Jun 6, 2020, 4:38:42 PM",Kudos,Post,10088157
"Jun 6, 2020, 8:54:04 PM",Kudos,Activity,3574115741
"Jun 6, 2020, 8:56:20 PM",Kudos,Activity,3574395103
"Jun 7, 2020, 1:48:07 AM",Kudos,Activity,3574817415
"Jun 7, 2020, 1:48:14 AM",Kudos,Activity,3574500547
"Jun 7, 2020, 8:47:35 PM",Kudos,Activity,3580060446
"Jun 7, 2020, 8:47:40 PM",Kudos,Activity,3579112821
"Jun 7, 2020, 8:47:51 PM",Kudos,Activity,3578680583
"Jun 7, 2020, 8:47:57 PM",Kudos,Activity,3579176414
"Jun 7, 2020, 8:48:11 PM",Kudos,Activity,3580085186
"Jun 8, 2020, 1:26:57 AM",Kudos,Post,10136194
"Jun 8, 2020, 2:20:09 PM",Kudos,Activity,3582711610
"Jun 8, 2020, 4:12:53 PM",Kudos,Activity,3583041948
"Jun 8, 2020, 4:13:04 PM",Kudos,Activity,3583042134
"Jun 8, 2020, 4:13:09 PM",Kudos,Activity,3583232215
"Jun 8, 2020, 4:13:13 PM",Kudos,Activity,3583063684
"Jun 8, 2020, 4:13:22 PM",Kudos,Activity,3582938272
"Jun 8, 2020, 4:13:31 PM",Kudos,Activity,3582781205
"Jun 9, 2020, 4:02:43 AM",Kudos,Activity,3583937523
"Jun 9, 2020, 2:30:10 PM",Kudos,Activity,3587710244
"Jun 9, 2020, 2:30:28 PM",Kudos,Activity,3587779107
"Jun 9, 2020, 2:30:31 PM",Kudos,Activity,3587754105
"Jun 9, 2020, 3:16:50 PM",Kudos,Activity,3587946330
"Jun 9, 2020, 3:16:53 PM",Kudos,Activity,3588007422
"Jun 9, 2020, 6:47:56 PM",Kudos,Activity,3589339535
"Jun 9, 2020, 6:48:01 PM",Kudos,Activity,3589339589
"Jun 9, 2020, 6:48:17 PM",Kudos,Activity,3589339012
"Jun 9, 2020, 6:48:20 PM",Kudos,Activity,3589318259
